semestre_ordem,semestre_id,semestre_label,ano,semestre,bandeira_tarifaria,tarifa_media_kwh,cenario,custo_semestral_brl,custo_fixo_medio_brl,custo_acumulado_brl,economia_semestral_brl,economia_acumulada_brl,roi_atingido
1,20251,2025-S1,2025,1,Vermelha P1,0.85429,Sem Painel,55228,9205,55228,0,0,0
1,20251,2025-S1,2025,1,Vermelha P1,0.85429,Com Painel,284518,5753,284518,20710,17445,0
2,20252,2025-S2,2025,2,Amarela,0.84685,Sem Painel,45088,7515,100316,0,0,0
2,20252,2025-S2,2025,2,Amarela,0.84685,Com Painel,24621,4104,309139,20467,37912,0
3,20261,2026-S1,2026,1,Vermelha P1,0.85429,Sem Painel,41396,6899,141712,0,0,0
3,20261,2026-S1,2026,1,Vermelha P1,0.85429,Com Painel,20686,3448,329825,20710,58622,0
4,20262,2026-S2,2026,2,Amarela,0.84685,Sem Painel,41035,6839,182747,0,0,0
4,20262,2026-S2,2026,2,Amarela,0.84685,Com Painel,20568,3428,350393,20467,79089,0
5,20271,2027-S1,2027,1,Vermelha P1,0.85429,Sem Painel,41396,6899,224143,0,0,0
5,20271,2027-S1,2027,1,Vermelha P1,0.85429,Com Painel,20686,3448,371079,20710,99799,0
6,20272,2027-S2,2027,2,Amarela,0.84685,Sem Painel,41035,6839,265178,0,0,0
6,20272,2027-S2,2027,2,Amarela,0.84685,Com Painel,20568,3428,391647,20467,120266,0
7,20281,2028-S1,2028,1,Vermelha P1,0.85429,Sem Painel,41396,6899,306574,0,0,0
7,20281,2028-S1,2028,1,Vermelha P1,0.85429,Com Painel,20686,3448,412333,20710,140976,0
8,20282,2028-S2,2028,2,Amarela,0.84685,Sem Painel,41035,6839,347609,0,0,0
8,20282,2028-S2,2028,2,Amarela,0.84685,Com Painel,20568,3428,432901,20467,161443,0
9,20291,2029-S1,2029,1,Vermelha P1,0.85429,Sem Painel,41396,6899,389005,0,0,0
9,20291,2029-S1,2029,1,Vermelha P1,0.85429,Com Painel,20686,3448,453587,20710,182153,0
10,20292,2029-S2,2029,2,Amarela,0.84685,Sem Painel,41035,6839,430040,0,0,0
10,20292,2029-S2,2029,2,Amarela,0.84685,Com Painel,20568,3428,474155,20467,202620,0
11,20301,2030-S1,2030,1,Vermelha P1,0.85429,Sem Painel,41396,6899,471436,0,0,0
11,20301,2030-S1,2030,1,Vermelha P1,0.85429,Com Painel,20686,3448,494841,20710,223330,0
12,20302,2030-S2,2030,2,Amarela,0.84685,Sem Painel,41035,6839,512471,0,0,0
12,20302,2030-S2,2030,2,Amarela,0.84685,Com Painel,20568,3428,515409,20467,243797,0
13,20311,2031-S1,2031,1,Amarela,0.84058,Sem Painel,27155,6789,539626,0,0,0
13,20311,2031-S1,2031,1,Amarela,0.84058,Com Painel,13646,3412,529055,13509,257306,1
