semestre_ordem,semestre_id,semestre_label,ano,semestre,bandeira_tarifaria,tarifa_media_kwh,custo_semestral_sem,custo_semestral_com,custo_fixo_medio_sem,custo_fixo_medio_com,custo_acumulado_sem,custo_acumulado_com,economia_semestral,economia_acumulada,roi_atingido
1,20251,2025-S1,2025,1,Vermelha P1,0.85429,55228,284518,9205,5753,55228,284518,20710,17445,0
2,20252,2025-S2,2025,2,Amarela,0.84685,45088,24621,7515,4104,100316,309139,20467,37912,0
3,20261,2026-S1,2026,1,Vermelha P1,0.85429,41396,20686,6899,3448,141712,329825,20710,58622,0
4,20262,2026-S2,2026,2,Amarela,0.84685,41035,20568,6839,3428,182747,350393,20467,79089,0
5,20271,2027-S1,2027,1,Vermelha P1,0.85429,41396,20686,6899,3448,224143,371079,20710,99799,0
6,20272,2027-S2,2027,2,Amarela,0.84685,41035,20568,6839,3428,265178,391647,20467,120266,0
7,20281,2028-S1,2028,1,Vermelha P1,0.85429,41396,20686,6899,3448,306574,412333,20710,140976,0
8,20282,2028-S2,2028,2,Amarela,0.84685,41035,20568,6839,3428,347609,432901,20467,161443,0
9,20291,2029-S1,2029,1,Vermelha P1,0.85429,41396,20686,6899,3448,389005,453587,20710,182153,0
10,20292,2029-S2,2029,2,Amarela,0.84685,41035,20568,6839,3428,430040,474155,20467,202620,0
11,20301,2030-S1,2030,1,Vermelha P1,0.85429,41396,20686,6899,3448,471436,494841,20710,223330,0
12,20302,2030-S2,2030,2,Amarela,0.84685,41035,20568,6839,3428,512471,515409,20467,243797,0
13,20311,2031-S1,2031,1,Amarela,0.84058,27155,13646,6789,3412,539626,529055,13509,257306,1
